Vernier Format 2
Untitled.cmbl 10/21/2020 15:15:05 .
Latest
Time	Potential 1	EKG	Potential 2
t	Pot 1	EKG	Pot 2
s	mV	mV	V

18.57	-0.311447143555	 	4.23194885254
18.575	-0.31266784668	 	4.23683166504
18.58	-0.319915771484	 	4.23439025879
18.585	-0.323577880859	 	4.23683166504
18.59	-0.319915771484	 	4.24049377441
18.595	-0.300537109375	 	4.23927307129
18.6	-0.272613525391	 	4.24049377441
18.605	-0.28108215332	 	4.24049377441
18.61	-0.272613525391	 	4.24285888672
18.615	-0.233703613281	 	4.24163818359
18.62	-0.215545654297	 	4.23927307129
18.625	-0.204559326172	 	4.23927307129
18.63	-0.194869995117	 	4.24285888672
18.635	-0.177856445313	 	4.24530029297
18.64	-0.168167114258	 	4.24530029297
18.645	-0.154815673828	 	4.24896240234
18.65	-0.131698608398	 	4.24896240234
18.655	-0.120788574219	 	4.25018310547
18.66	-0.102554321289	 	4.25140380859
18.665	-0.0892028808594	 	4.25140380859
18.67	-0.0746307373047	 	4.25262451172
18.675	-0.0491485595703	 	4.25384521484
18.68	-0.0163421630859	 	4.25506591797
18.685	0.0419464111328	 	4.25628662109
18.69	0.0443878173828	 	4.2586517334
18.695	0.0589599609375	 	4.2586517334
18.7	0.106338500977	 	4.2586517334
18.705	0.110000610352	 	4.25987243652
18.71	0.0917663574219	 	4.26109313965
18.715	0.0868835449219	 	4.25987243652
18.72	0.0747528076172	 	4.25987243652
18.725	0.0747528076172	 	4.26109313965
18.73	0.0395050048828	 	4.2635345459
18.735	0.00067138671875	 	4.26475524902
18.74	-0.0200042724609	 	4.2635345459
18.745	-0.066162109375	 	4.26597595215
18.75	-0.0904235839844	 	4.2684173584
18.755	-0.0916442871094	 	4.26963806152
18.76	-0.119567871094	 	4.26963806152
18.765	-0.142608642578	 	4.27085876465
18.77	-0.158401489258	 	4.2733001709
18.775	-0.143829345703	 	4.2733001709
18.78	-0.156036376953	 	4.27207946777
18.785	-0.164505004883	 	4.2756652832
